,artist,title,albumart,time,channel
128,Claptone/George Kranz,The Drums (Din Daa Daa),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493713160.7703,Electric Area
129,Martin Garrix/Brooks,Byte,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493713400.7354615,Electric Area
130,EDX,All I Know,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493713640.7438269,Electric Area
131,Armin van Buuren/W&W,If It Ain't Dutch,http://www.siriusxm.com/albumart/Live/0830/arminvanbuur_56929806_m.jpg,1493713880.7425108,Electric Area
132,Fletcher,Wasted Youth (Michael Brun Remix),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493714060.7262256,Electric Area
133,#AreaTop20,Fri 4pET @sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493714240.7555065,Electric Area
134,Offaiah,Run,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493714300.7346227,Electric Area
135,AMTRAC,Escalator,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493714480.8166509,Electric Area
136,Darren Tate/Jono Grant,Let The Light Shine In [Arty Rmx],http://www.siriusxm.com/albumart/Live/0830/darrentatejo_526069EE_m.jpg,1493714660.7486794,Electric Area
137,Todd Terry/DJ S.K.T.,Nite & Day,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493714960.7597544,Electric Area
138,Busy P/Mayer Hawthorne,Genie (KDA Remix),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493715200.7294712,Electric Area
139,Pierce Fulton,Life In Letters,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493715320.723837,Electric Area
140,Riton/Mr. Eazi/Davido/Kah Lo,Money,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493715560.7552722,Electric Area
141,Jaded,In The Morning,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493715860.7339654,Electric Area
142,HI-LO,Ooh La La,http://www.siriusxm.com/albumart/Live/0900/hilo_5667EDFF_m.jpg,1493715980.7372367,Electric Area
143,#ASOS,Sundays 6aET @sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493716220.737983,Electric Area
144,Jauz,The Game,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493716280.7373366,Electric Area
145,Keys N Krates,U Already Know,http://www.siriusxm.com/albumart/Live/0900/keysnkrates_56755914_m.jpg,1493716520.8116186,Electric Area
146,Chace/Yade Lauren,Something About You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493716700.7385488,Electric Area
147,Phantoms,Been Here Before,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493716880.7915075,Electric Area
148,Deorro/Teemu,Turn Back Time,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493717180.734098,Electric Area
149,Wuki,Let Me Go (feat. Prxzm),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493717420.7425525,Electric Area
150,Bicep,Just,http://www.siriusxm.com/albumart/Live/0930/bicep_568CD7EF_m.jpg,1493717600.7493644,Electric Area
151,The Chainsmokers,It Won't Kill Ya (feat. Louane),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493717840.715197,Electric Area
152,MAKJ/Max Styler/Elayna Boynton,Knock Me Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493718080.742519,Electric Area
153,Yellow Claw,Open (ft. Moksi & John Fraser),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493718320.741407,Electric Area
154,Afrojack,Fatility,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493718500.7385464,Electric Area
155,Boombox Cartel,Alamo (feat. Shoffy),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493718680.7447708,Electric Area
156,Odesza,Late Night,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493718980.752375,Electric Area
