,artist,title,albumart,time,channel
83,Kungs/Ephemerals,I Feel So Bad,http://www.siriusxm.com/albumart/Live/0900/kungsephemer_58E2DF4C_m.jpg,1493370328.2947824,
84,3LAU,On My Mind,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493370568.2568574,
85,Tritonia,Ch52 Fridays 1pET,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493370688.347724,
86,Tritonal/Phoebe Ryan,Now Or Never,http://www.siriusxm.com/albumart/Live/0900/tritonalphoe_550739D5_m.jpg,1493370748.2756755,
87,Lucas & Steve/Jake Reese,Calling On You,http://www.siriusxm.com/albumart/Live/0900/lucassteveja_588A424B_m.jpg,1493370988.2963815,
88,Dimitri Vegas & Like Mike/Diplo,Hey Baby,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493371048.4454858,
89,Galantis/Kaskade,Runaway (U&I) Remix,http://www.siriusxm.com/albumart/Live/0900/galantiskask_58C80DBE_m.jpg,1493371288.2855792,
90,Morgan Page feat. Lissie,Don't Give Up,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493371468.4015768,
91,Sam Feldt/Hook N Sling,Open Your Eyes,http://www.siriusxm.com/albumart/Live/0900/samfeldthook_58AE493D_m.jpg,1493371708.2807047,
92,Marshmello,Ritual,http://www.siriusxm.com/albumart/Live/0930/marshmello_581902B1_m.jpg,1493371888.2822769,
93,Alan Walker,Alone (WildVibes Remix),http://www.siriusxm.com/albumart/Live/0930/alanwalker_58AE229D_m.jpg,1493372128.2873006,
94,Illenium/Nevve,Fractures,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493372308.2968748,
95,Tiesto/CC Sheffield,Escape Me-Avicii At Night,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493372548.265646,
96,Men At Work,Land Down Under-Chachi & Paige Remi,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493372848.2680552,
