,artist,title,albumart,time,channel
77,Bruno Mars,24K Magic,http://www.siriusxm.com/albumart/Live/0800/brunomars_580AA038_m.jpg,1493367808.2970624,SiriusXM Hits 1
78,MAX/Gnash,Lights Down Low,http://www.siriusxm.com/albumart/Live/0800/maxgnash_586F01C1_m.jpg,1493368048.2763882,SiriusXM Hits 1
79,Chainsmokers,Paris,http://www.siriusxm.com/albumart/Live/0830/chainsmokers_58A83CE8_m.jpg,1493368288.2790349,SiriusXM Hits 1
80,Linkin Park/Kiiara,Heavy,http://www.siriusxm.com/albumart/Live/0830/linkinparkki_58AD28F0_m.jpg,1493368468.299491,SiriusXM Hits 1
81,Shawn Mendes,Mercy,http://www.siriusxm.com/albumart/Live/0830/shawnmendes_58021727_m.jpg,1493368648.2805204,SiriusXM Hits 1
82,Adele,Water Under The Bridge,http://www.siriusxm.com/albumart/Live/0830/adele_582CEC79_m.jpg,1493368888.4579115,SiriusXM Hits 1
83,Zedd/Alessia Cara,Stay,http://www.siriusxm.com/albumart/Live/0830/zeddalessiac_58B093BC_m.jpg,1493369068.4685855,SiriusXM Hits 1
84,Charlie Puth,Attention,http://www.siriusxm.com/albumart/Live/0830/charlieputh_58F97557_m.jpg,1493369248.3026516,SiriusXM Hits 1
85,Train,Play That Song,http://www.siriusxm.com/albumart/Live/0830/train_581BDD11_m.jpg,1493369488.3175626,SiriusXM Hits 1
86,Chainsmokers/Coldplay,Something Just Like This,http://www.siriusxm.com/albumart/Live/0830/chainsmokers_58C328AC_m.jpg,1493369668.3022258,SiriusXM Hits 1
87,Ed Sheeran,Shape Of You,http://www.siriusxm.com/albumart/Live/0830/edsheeran_58815DB6_m.jpg,1493369908.3345096,SiriusXM Hits 1
88,AJR,Weak,http://www.siriusxm.com/albumart/Live/0900/ajr_58929C7F_m.jpg,1493370148.2900155,SiriusXM Hits 1
89,Bruno Mars,That's What I Like,http://www.siriusxm.com/albumart/Live/0900/brunomars_58C80E78_m.jpg,1493370328.3138175,SiriusXM Hits 1
90,Panic! At The Disco,L.A. Devotee,http://www.siriusxm.com/albumart/Live/0900/panicatthedi_5893B631_m.jpg,1493370568.2926095,SiriusXM Hits 1
